annotation_id,game_id,day,strength,accuser_player_name,accuser_role_truth,accuser_team_truth,accuser_model,named_target_player_names,target_role_truth,target_team_truth,target_model,highlight_text,utterance,reason,winner_team
1722da15-f1f0-431a-9a78-2726874eeab1,werewolf-003kgp,1,accuse,Bob,Werewolf,Werewolves,Qwen/Qwen3.6-35B-A3B,['Grace'],['Seer'],['Villagers'],['Qwen/Qwen3.6-27B'],"Grace, you're dropping a bombshell with absolutely zero proof. False Seer announcements are the classic opening strategy for Wolves trying to control the board and force an innocent exile.","Grace, you're dropping a bombshell with absolutely zero proof. False Seer announcements are the classic opening strategy for Wolves trying to control the board and force an innocent exile. If you were genuinely the Seer, your job is to give the town something they can trust, not just a dramatic accusation with no backup. Throwing baseless labels around only helps the Werewolves split our votes or waste a precious number. We already lost a confirmed Villager; blindly exiling me on a single, unverified claim would be handing the Wolves an instant win. I urge everyone to step back and think critically about who benefits most from this kind of confusion. Let's preserve our numbers, watch how people actually vote, and refuse to fall for what looks like a manufactured crisis. Don't let a bold claim override reason and cost us another life today.","Bob explicitly frames Grace's Seer claim as a wolf strategy ('False Seer announcements are the classic opening strategy for Wolves'), attributing wolf identity to Grace. No vote-call follows, so L2.",Werewolves
99b9ebb9-fb2c-4867-b404-a12eee09c6c6,werewolf-003kgp,1,accuse,Charlie,Villager,Villagers,openai/gpt-oss-20b,['Bob'],['Werewolf'],['Werewolves'],['Qwen/Qwen3.6-35B-A3B'],"I still believe Grace is the Seer and Bob is a werewolf. With no other evidence contradicting her claim, we should vote Bob out to protect our numbers.","I still believe Grace is the Seer and Bob is a werewolf. With no other evidence contradicting her claim, we should vote Bob out to protect our numbers.",Charlie explicitly asserts 'Bob is a werewolf' and calls for vote. Adds continued endorsement with no new counter-evidence as justification; not a pure +1 because it asserts wolf identity directly.,Werewolves
2c232767-91a5-48fb-9119-32e14d2ddf91,werewolf-02f8a1,1,accuse,Bob,Seer,Villagers,google/gemma-4-31B-it,['Grace'],['Werewolf'],['Werewolves'],['Qwen/Qwen3.6-35B-A3B'],"I am the Seer. Last night, I investigated Grace and discovered that she is a Werewolf.","Everyone, listen up. I am the Seer. Last night, I investigated Grace and discovered that she is a Werewolf. Since we've already lost our Doctor, we cannot afford to guess or waste any more time. We must exile Grace today to tip the scales back in our favor. Please, trust my finding and vote for Grace.",Bob claims Seer role and asserts Grace is a Werewolf based on investigation result.,Werewolves
ade8676a-47cb-40e8-9829-df415668fdef,werewolf-02f8a1,1,accuse,Grace,Werewolf,Werewolves,Qwen/Qwen3.6-35B-A3B,['Bob'],['Seer'],['Villagers'],['google/gemma-4-31B-it'],"Bob, coming in with a bold ""I am the Seer"" claim right now feels incredibly convenient, especially after the Doctor is already dead. If you truly inspected me, where is your evidence? A real Seer wouldn't wait until now to drop such a massive bomb without context or preparation.","David raises an excellent point, and I appreciate his caution. Bob, coming in with a bold ""I am the Seer"" claim right now feels incredibly convenient, especially after the Doctor is already dead. If you truly inspected me, where is your evidence? A real Seer wouldn't wait until now to drop such a massive bomb without context or preparation. Given that we have no protection tonight, spreading unverified accusations could easily cost us the game. I suggest we treat Bob's claim with extreme skepticism. If you are genuinely the Seer, Bob, prove it by answering some logical follow-up questions rather than demanding immediate exile. Let's not let panic drive our vote today.","Grace strongly implies Bob is lying about being the Seer, framing it as an implausible and evidence-free claim.",Werewolves
1657129f-c58d-4600-b8d5-bf24d33f5c5c,werewolf-02f8a1,1,accuse,David,Werewolf,Werewolves,openai/gpt-oss-20b,['Bob'],['Seer'],['Villagers'],['google/gemma-4-31B-it'],"I suspect you’re trying to steer us toward the wrong target. Let’s not rush and instead demand evidence—or better yet, let the group consider that your claim might be a distraction.","Bob, I’m impressed by your confidence, but I can’t help noticing the odd timing of your reveal. If you truly investigated last night, why only now proclaim that Grace is a werewolf? A real Seer would have shown more than a single accusation, especially when the Doctor is gone and we need guidance. I suspect you’re trying to steer us toward the wrong target. Let’s not rush and instead demand evidence—or better yet, let the group consider that your claim might be a distraction. We should at least question what you did last night before we decide who to exile.","David asserts Bob is deliberately misleading the group, strongly implying Bob is lying.",Werewolves
cfa62e38-0acc-454b-bbef-9973e73633e7,werewolf-06jjpt,1,suspect,Charlie,Doctor,Villagers,zai-org/GLM-4.7-Flash,['Eve'],['Werewolf'],['Werewolves'],['Qwen/Qwen3.6-35B-A3B'],"Eve, voting for Bob without concrete evidence seems like a move to shift suspicion to the quiet ones.","I am the Doctor. I protected Grace last night, so I am not the player who killed Alice. Grace and David, I know you made a huge mistake putting a Villager on the block; you need to be careful not to get lynched yourself for it. Eve, voting for Bob without concrete evidence seems like a move to shift suspicion to the quiet ones. Bob, stay firm and don't let yourself be a scapegoat. The wolves are likely hiding in plain sight among the players who have been quiet so far.",Negative attribution: deliberate suspicion-shifting.,Werewolves
bd588de2-4b1c-4b57-9fcc-a152cfa507d3,werewolf-06jjpt,1,suspect,Bob,Seer,Villagers,google/gemma-4-31B-it,['Eve'],['Werewolf'],['Werewolves'],['Qwen/Qwen3.6-35B-A3B'],It's strange that Eve immediately targeted me without any evidence,"It's strange that Eve immediately targeted me without any evidence, and David is now using that to cast suspicion my way. If we are looking for 'wolf behavior,' pushing a random player without a reason is a classic way to create a scapegoat. As for Charlie, if you are indeed the Doctor, that's helpful to know, but we should be cautious about early claims as they can be used by wolves to gain trust. For now, I'm more concerned about why Eve is trying to pin this on me. Eve, can you explain your reasoning for targeting me?",Negative framing of Eve's targeting; followed by pressure question.,Werewolves
593ad318-3927-4aaf-9469-0521826b71be,werewolf-06jjpt,1,accuse,Eve,Werewolf,Werewolves,Qwen/Qwen3.6-35B-A3B,['David'],['Villager'],['Villagers'],['openai/gpt-oss-20b'],David's quick alignment with my vote to point out a 'pattern' feels premature and exactly like wolves attempting to steer the village narrative before proper discussion occurs.,"To address the room clearly: I voted for Bob because his noticeable silence during the opening phase felt like classic wolf behavior—laying low to avoid scrutiny. David's quick alignment with my vote to point out a 'pattern' feels premature and exactly like wolves attempting to steer the village narrative before proper discussion occurs. As for Charlie's Doctor claim, I'll tentatively accept it since it aligns with the outcome, but remember wolves love fake support roles. Grace admitting her mistake actually proves she's not a wolf; true wolves never own up that cleanly. We're fixating on yesterday's choices instead of today's behavior. Focus on who is actively pushing for immediate consensus or creating scapegoats—that's usually where the wolves operate. Let's keep our eyes on the board and demand better explanations.",Compares David's behavior directly to wolf behavior — strong attribution.,Werewolves
2f33a2e7-d4e3-40ea-b629-a9c46a835a5c,werewolf-06jjpt,1,accuse,Grace,Werewolf,Werewolves,Qwen/Qwen3.6-27B,['Charlie'],['Doctor'],['Villagers'],['zai-org/GLM-4.7-Flash'],"I have a major problem with @Charlie's statement. You claim to be the Doctor and say you saved me? That is extremely suspicious. Usually, people with special roles hide them until necessary. Shouting it out on Day 1 feels like a wolf trying to grab a safe identity before discussion heats up. On top of that, you claim you saved *me*—the player who just admitted to voting out a confirmed Villager (Alice)? If you really cared about the village, why protect someone with such poor judgment? It looks like a convenient story designed to distract from @Bob.","Eve, I agree with your assessment. We need to look at the dynamics rather than just fixating on yesterday's votes.

I have a major problem with @Charlie's statement. You claim to be the Doctor and say you saved me? That is extremely suspicious. Usually, people with special roles hide them until necessary. Shouting it out on Day 1 feels like a wolf trying to grab a safe identity before discussion heats up. On top of that, you claim you saved *me*—the player who just admitted to voting out a confirmed Villager (Alice)? If you really cared about the village, why protect someone with such poor judgment? It looks like a convenient story designed to distract from @Bob.

And @David, Eve pointed out correctly that you rushed to align with her vote on Bob without any evidence. That's exactly how wolves work together—pushing a narrative before it can be debunked.

@Bob is still offering no explanation for his behavior. With Charlie throwing out a likely false claim to cover for him, the choice is obvious. I'm following Eve's lead: vote Bob.",Explicitly frames Charlie as 'a wolf trying to grab a safe identity'.,Werewolves
c5795433-a12f-4bc8-b09c-40b22669fd41,werewolf-06jjpt,1,accuse,Grace,Werewolf,Werewolves,Qwen/Qwen3.6-27B,['Bob'],['Seer'],['Villagers'],['google/gemma-4-31B-it'],"@Bob is still offering no explanation for his behavior. With Charlie throwing out a likely false claim to cover for him, the choice is obvious. I'm following Eve's lead: vote Bob.","Eve, I agree with your assessment. We need to look at the dynamics rather than just fixating on yesterday's votes.

I have a major problem with @Charlie's statement. You claim to be the Doctor and say you saved me? That is extremely suspicious. Usually, people with special roles hide them until necessary. Shouting it out on Day 1 feels like a wolf trying to grab a safe identity before discussion heats up. On top of that, you claim you saved *me*—the player who just admitted to voting out a confirmed Villager (Alice)? If you really cared about the village, why protect someone with such poor judgment? It looks like a convenient story designed to distract from @Bob.

And @David, Eve pointed out correctly that you rushed to align with her vote on Bob without any evidence. That's exactly how wolves work together—pushing a narrative before it can be debunked.

@Bob is still offering no explanation for his behavior. With Charlie throwing out a likely false claim to cover for him, the choice is obvious. I'm following Eve's lead: vote Bob.",Adds new negative attribution + explicit 'vote Bob' — not pure pile-on.,Werewolves
