model_id,family,size_b,reasoning,size_group,true_villager,true_villager_ci95,n_villager,true_wolf,true_wolf_ci95,n_wolf,separation
meta-llama/Llama-3.2-1B-Instruct,Llama,1.0,False,<=4B,1.0689928628072958,0.09987817114555453,2522,1.063400576368876,0.10989912289488488,2082,-0.005592286438419691
Qwen/Qwen3.5-2B,Qwen,2.0,True,<=4B,-1.3379392025266483,0.08199633897804785,2533,0.13743392599711676,0.10632877604555112,2081,1.475373128523765
Qwen/Qwen3.5-2B-nothink,Qwen,2.0,False,<=4B,-0.576969696969697,0.09096879807128377,2475,-0.011816838995568686,0.10217252919490613,2031,0.5651528579741283
google/gemma-4-E2B-it,Gemma,2.0,False,<=4B,-0.2880690737833595,0.05794705016358331,2548,0.30185979971387694,0.057035452868198104,2097,0.5899288734972364
google/gemma-4-E2B-it-r,Gemma,2.0,True,<=4B,-0.47401574803149604,0.05979019776929349,2540,0.21705797795879253,0.06691780927195141,2087,0.6910737259902886
meta-llama/Llama-3.2-3B-Instruct,Llama,3.0,False,<=4B,-0.2112676056338028,0.07203799901565394,2556,0.32142857142857145,0.07015989361272187,2100,0.5326961770623743
mistralai/Ministral-3-3B-Instruct-2512,Mistral,3.0,False,<=4B,-0.7298919567827131,0.0589067873403201,2499,0.044681884409907724,0.07242529480345924,2059,0.7745738411926208
microsoft/Phi-4-mini-instruct,Phi,3.8,False,<=4B,-0.4681017612524462,0.06951408692075273,2555,0.21438780371605526,0.07329092775387287,2099,0.6824895649685014
Qwen/Qwen3.5-4B,Qwen,4.0,True,<=4B,-1.0920897284533648,0.07454659163328836,2541,0.3793103448275862,0.09199322754738397,2088,1.4714000732809511
Qwen/Qwen3.5-4B-nothink,Qwen,4.0,False,<=4B,-1.0408997955010224,0.078100051008656,2445,-0.011964107676969093,0.0952050432000471,2006,1.0289356878240534
google/gemma-4-E4B-it,Gemma,4.0,False,<=4B,-0.4998038446449588,0.056448837526030436,2549,0.35499283325370284,0.06323267911418412,2093,0.8547966778986616
google/gemma-4-E4B-it-r,Gemma,4.0,True,<=4B,-0.6406433895645351,0.06050283088299071,2549,0.3559483994266603,0.07353863020423264,2093,0.9965917889911955
allenai/Olmo-3-7B-Instruct,Olmo,7.0,False,5-9B,-0.4209702660406886,0.0767089627207666,2556,0.6012386850881372,0.07667476750991256,2099,1.0222089511288257
allenai/Olmo-3-7B-Think,Olmo,7.0,True,5-9B,-1.0105633802816902,0.08326063763445438,2556,0.2523809523809524,0.09958128207641234,2100,1.2629443326626426
Qwen/Qwen3-8B,Qwen,8.0,True,5-9B,-0.9049295774647887,0.07237195087787145,2556,0.6014285714285714,0.08213908081872451,2100,1.5063581488933602
meta-llama/Llama-3.1-8B-Instruct,Llama,8.0,False,5-9B,-1.1330724070450098,0.07907293804003054,2555,-0.009528346831824679,0.09755638354081204,2099,1.1235440602131852
mistralai/Ministral-3-8B-Instruct-2512,Mistral,8.0,False,5-9B,-0.7270588235294118,0.08163553276591305,2550,0.35741626794258374,0.09238464628950324,2090,1.0844750914719956
Qwen/Qwen3.5-9B,Qwen,9.0,True,5-9B,-0.8919984233346472,0.0709067809532081,2537,0.47290167865707433,0.08489434916688848,2085,1.3649001019917215
Qwen/Qwen3.5-9B-nothink,Qwen,9.0,False,5-9B,-0.8057048367093841,0.07958916144505579,2419,0.18509254627313657,0.09387189796601501,1999,0.9907973829825206
nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron,9.0,True,5-9B,-0.4745497259201253,0.07725030375994751,2554,0.5038095238095238,0.08089661983635375,2100,0.9783592497296492
Qwen/Qwen3-14B,Qwen,14.0,True,10-29B,-0.9710485133020345,0.06746686973935243,2556,0.5385714285714286,0.08176943256275966,2100,1.509619941873463
microsoft/phi-4,Phi,14.0,False,10-29B,-0.796376526191414,0.07130098800850809,2539,0.5927168183996167,0.08334412220692382,2087,1.3890933445910307
mistralai/Ministral-3-14B-Instruct-2512,Mistral,14.0,False,10-29B,-1.1405088062622308,0.07392375056100202,2555,0.011434016198189614,0.09424488830074912,2099,1.1519428224604205
openai/gpt-oss-20b-nr,GPT-OSS,20.0,False,10-29B,-0.7515698587127159,0.07272079733132432,2548,-0.015759312320916905,0.08358442422216714,2094,0.735810546391799
openai/gpt-oss-20b-r,GPT-OSS,20.0,True,10-29B,-0.8603921568627451,0.06900314223076208,2550,0.13944603629417382,0.08500279198712693,2094,0.9998381931569189
google/gemma-4-26B-A4B-it,Gemma,26.0,False,10-29B,-0.6741001564945227,0.07015824470468439,2556,0.7666666666666667,0.07460077289337008,2100,1.4407668231611894
google/gemma-4-26B-A4B-it-r,Gemma,26.0,True,10-29B,-0.8000782472613458,0.06999587607490677,2556,0.6780952380952381,0.08154806124576923,2100,1.4781734853565838
Qwen/Qwen3.6-27B,Qwen,27.0,True,10-29B,-0.8763693270735524,0.0668496802201172,2556,0.7652380952380953,0.0777560633708195,2100,1.6416074223116477
Qwen/Qwen3.6-27B-nothink,Qwen,27.0,False,10-29B,-0.8833659491193738,0.07102666172765812,2555,0.7589328251548356,0.08164906116126201,2099,1.6422987742742094
Qwen/Qwen3-30B-A3B,Qwen,30.0,True,>=30B,-0.8568075117370892,0.07128970209213084,2556,0.34476190476190477,0.08195317125245123,2100,1.201569416498994
zai-org/GLM-4.7-Flash,GLM,30.0,True,>=30B,-0.8262063554335033,0.07121367854336356,2549,0.24498567335243554,0.0845376994323411,2094,1.0711920287859389
google/gemma-4-31B-it,Gemma,31.0,False,>=30B,-0.5383411580594679,0.0642210926994295,2556,0.9833333333333333,0.06827360283912817,2100,1.521674491392801
google/gemma-4-31B-it-r,Gemma,31.0,True,>=30B,-0.701095461658842,0.0677703922414437,2556,0.9838095238095238,0.0743654827569458,2100,1.6849049854683658
allenai/Olmo-3.1-32B-Instruct,Olmo,32.0,False,>=30B,-0.9673485444531865,0.06657494817701973,2542,0.3653384541526644,0.08200114641233644,2083,1.332686998605851
allenai/Olmo-3.1-32B-Think,Olmo,32.0,True,>=30B,-0.9655577299412916,0.07045964109318711,2555,0.4454502143878037,0.08531931795228635,2099,1.4110079443290953
Qwen/Qwen3.6-35B-A3B,Qwen,35.0,True,>=30B,-0.8438967136150235,0.07007094607406278,2556,0.47333333333333333,0.08317297888051987,2100,1.3172300469483569
Qwen/Qwen3.6-35B-A3B-nothink,Qwen,35.0,False,>=30B,-0.7442596991290578,0.07586907141315995,2526,0.7533653846153846,0.08506065936946798,2080,1.4976250837444423
meta-llama/Llama-3.3-70B-Instruct,Llama,70.0,False,>=30B,-0.7640845070422535,0.0666019987918655,2556,0.5347619047619048,0.07575309217806321,2100,1.2988464118041583
openai/gpt-oss-120b,GPT-OSS,120.0,True,>=30B,-0.6635367762128326,0.06552412260312307,2556,0.439047619047619,0.07598705951475979,2100,1.1025843952604517
openai/gpt-oss-120b-nr,GPT-OSS,120.0,False,>=30B,-0.7014162077104642,0.06770036842990305,2542,0.21891502640422467,0.07995112784811584,2083,0.9203312341146889
